name,season,wikipedia url,wikidata q id,imdb id,character name
Batman,Season 1 (1969-1970),https://community.fandom.com/wiki/Wikipedia:Batman,Q2695156,,
Carol Burnett,Season 1 (1969-1970),https://community.fandom.com/wiki/Wikipedia:Carol_Burnett,Q255565,0000993,Carol Burnett
Michael Cooney,Season 1 (1969-1970),https://community.fandom.com/wiki/Wikipedia:Michael_Cooney,Q6829443,,
Ruby Dee,Season 1 (1969-1970),https://community.fandom.com/wiki/Wikipedia:Ruby_Dee,Q234360,0002039,
Odetta Holmes,Season 1 (1969-1970),https://community.fandom.com/wiki/Wikipedia:Odetta_Holmes,Q237633,,
Mahalia Jackson,Season 1 (1969-1970),https://community.fandom.com/wiki/Wikipedia:Mahalia_Jackson,Q206466,0413810,
James Earl Jones,Season 1 (1969-1970),https://community.fandom.com/wiki/Wikipedia:James_Earl_Jones,Q203960,0000469,Lemming #30
Ethel Kennedy,Season 1 (1969-1970),https://community.fandom.com/wiki/Wikipedia:Ethel_Kennedy,Q258661,0448026,
B. B. King,Season 1 (1969-1970),https://community.fandom.com/wiki/Wikipedia:B._B._King,Q188969,0454475,B.B.
Reverend Frederick Douglas Kirkpatrick,Season 1 (1969-1970),https://community.fandom.com/wiki/Wikipedia:Frederick_Douglass_Kirkpatrick,Q20737932,,
Burt Lancaster,Season 1 (1969-1970),https://community.fandom.com/wiki/Wikipedia:Burt_Lancaster,Q160528,0000044,Burt
Ed Lipton,Season 1 (1969-1970),,,,
Don McLean,Season 1 (1969-1970),https://community.fandom.com/wiki/Wikipedia:Don_McLean,Q57339,,
Listen My Brother,Season 1 (1969-1970),,,,
Pat Paulsen,Season 1 (1969-1970),https://community.fandom.com/wiki/Wikipedia:Pat_Paulsen,Q7143911,0667323,
Lou Rawls,Season 1 (1969-1970),https://community.fandom.com/wiki/Wikipedia:Lou_Rawls,Q455821,0712675,
Jackie Robinson,Season 1 (1969-1970),https://community.fandom.com/wiki/Wikipedia:Jackie_Robinson,Q221048,0732697,
Rowlf the Dog,Season 1 (1969-1970),,,,
Tony Saletan,Season 1 (1969-1970),https://community.fandom.com/wiki/Wikipedia:Tony_Saletan,Q16091996,,
Pete Seeger,Season 1 (1969-1970),https://community.fandom.com/wiki/Wikipedia:Pete_Seeger,Q244441,,
Superman,Season 1 (1969-1970),https://community.fandom.com/wiki/Wikipedia:Superman,Q79015,,
Jess Adkins,Season 2 (1970-1971),,,,
Leon Bibb,Season 2 (1970-1971),https://community.fandom.com/wiki/Wikipedia:Leon_Bibb_(musician),Q1818862,,
Theodore Bikel,Season 2 (1970-1971),https://community.fandom.com/wiki/Wikipedia:Theodore_Bikel,Q215721,0000942,
Bonanza,Season 2 (1970-1971),https://community.fandom.com/wiki/Wikipedia:Bonanza,Q862187,,
Dave Broadfoot,Season 2 (1970-1971),https://community.fandom.com/wiki/Wikipedia:Dave_Broadfoot,Q3017127,0110378,
Carol Burnett,Season 2 (1970-1971),https://community.fandom.com/wiki/Wikipedia:Carol_Burnett,Q255565,0000993,Carol Burnett
Tim Conway,Season 2 (1970-1971),https://community.fandom.com/wiki/Wikipedia:Tim_Conway,Q1304952,0176792,
Michael Cooney,Season 2 (1970-1971),https://community.fandom.com/wiki/Wikipedia:Michael_Cooney,Q6829443,,
Bill Cosby,Season 2 (1970-1971),https://community.fandom.com/wiki/Wikipedia:Bill_Cosby,Q213512,0001070,Himsef
Reuben Figueroa,Season 2 (1970-1971),,,,
Peggy Fleming,Season 2 (1970-1971),https://community.fandom.com/wiki/Wikipedia:Peggy_Fleming,Q236546,,
Walt Frazier,Season 2 (1970-1971),https://community.fandom.com/wiki/Wikipedia:Walt_Frazier,Q348696,,
Arte Johnson,Season 2 (1970-1971),https://community.fandom.com/wiki/Wikipedia:Arte_Johnson,Q2864827,0424527,German Soldier
Listen My Brother,Season 2 (1970-1971),,,,
Cleavon Little,Season 2 (1970-1971),https://community.fandom.com/wiki/Wikipedia:Cleavon_Little,Q1099628,0001476,
National Theatre of the Deaf,Season 2 (1970-1971),https://community.fandom.com/wiki/Wikipedia:National_Theatre_of_the_Deaf,Q1967764,,
Christopher Lofton,Season 2 (1970-1971),,,,
Jim Nabors,Season 2 (1970-1971),https://community.fandom.com/wiki/Wikipedia:Jim_Nabors,Q963787,0001561,
Pete Seeger,Season 2 (1970-1971),https://community.fandom.com/wiki/Wikipedia:Pete_Seeger,Q244441,,
Superman,Season 2 (1970-1971),https://community.fandom.com/wiki/Wikipedia:Superman,Q79015,,
Flip Wilson,Season 2 (1970-1971),https://community.fandom.com/wiki/Wikipedia:Flip_Wilson,Q3073760,0933400,
Nydia Caro,Season 3 (1971-1972),https://community.fandom.com/wiki/Wikipedia:Nydia_Caro,Q9051232,,
Bill Cosby,Season 3 (1971-1972),https://community.fandom.com/wiki/Wikipedia:Bill_Cosby,Q213512,0001070,Himsef
Reverend Jesse Jackson,Season 3 (1971-1972),https://community.fandom.com/wiki/Wikipedia:Jesse_Jackson,Q310586,0413666,
Reverend Frederick Douglas Kirkpatrick,Season 3 (1971-1972),https://community.fandom.com/wiki/Wikipedia:Frederick_Douglass_Kirkpatrick,Q20737932,,
National Theatre of the Deaf,Season 3 (1971-1972),https://community.fandom.com/wiki/Wikipedia:National_Theatre_of_the_Deaf,Q1967764,,
The New York Knicks,Season 3 (1971-1972),,,,
Baseball,Season 3 (1971-1972),https://community.fandom.com/wiki/Wikipedia:Baseball,Q5369,,
Pete Seeger,Season 3 (1971-1972),https://community.fandom.com/wiki/Wikipedia:Pete_Seeger,Q244441,,
Nina Simone,Season 3 (1971-1972),https://community.fandom.com/wiki/Wikipedia:Nina_Simone,Q174957,0800510,
Jimmy Collier,Season 4 (1972-1973),,,,
Paul Dooley,Season 4 (1972-1973),https://community.fandom.com/wiki/Wikipedia:Paul_Dooley,Q708097,0233209,Parrot
Stevie Wonder,Season 4 (1972-1973),https://community.fandom.com/wiki/Wikipedia:Stevie_Wonder,Q714,0005567,
Johnny Cash,Season 5 (1973-1974),https://community.fandom.com/wiki/Wikipedia:Johnny_Cash,Q42775,0143599,
June Carter Cash,Season 5 (1973-1974),https://community.fandom.com/wiki/Wikipedia:June_Carter_Cash,Q233253,0141745,
Jimmy Collier,Season 5 (1973-1974),,,,
Morgan Freeman,Season 5 (1973-1974),https://community.fandom.com/wiki/Wikipedia:Morgan_Freeman,Q48337,0000151,Easy Reader
The Harlem Globetrotters,Season 5 (1973-1974),https://community.fandom.com/wiki/Wikipedia:The_Harlem_Globetrotters,Q506754,,
[3],Season 5 (1973-1974),https://community.fandom.com/wiki/Wikipedia:The_Harlem_Globetrotters,Q506754,,
